solver,instance,sense,status,objval_reported,objbound,solvertime,totaltime,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time
PAJ_CPLEX_MOSEK_dualonly,20_0_5_w.cbf,Min,Optimal,3.7766761131647318e6,3.776676119148992e6,40.746865034103394,40.79376792907715,PAJ_CPLEX_MOSEK_dualonly.20_0_5_w.txt,1.232992381010746e-16,2.243458311568247e-6,-Inf,3.5495774208804676e-8,-Inf,0.0,Optimal,3.9949120831606215e-9,1,1,0,3.74e-02
PAJ_CPLEX_MOSEK_dualonly,50_0_5_w.cbf,Min,Optimal,9.965933944765095e6,9.965933945375958e6,2961.345705986023,2961.4015321731567,PAJ_CPLEX_MOSEK_dualonly.50_0_5_w.txt,1.8690121362979403e-16,2.2102540242485702e-7,-Inf,1.2755989597934558e-9,-Inf,0.0,Optimal,2.1518740400395208e-9,1,1,0,1.21e-01
PAJ_CPLEX_MOSEK_dualonly,75_0_5_w.cbf,Min,UserLimit,1.2256690900059544e7,1.225335542122187e7,3600.2892048358917,3600.353240966797,PAJ_CPLEX_MOSEK_dualonly.75_0_5_w.txt,0.0,1.964395232789684e-5,-Inf,9.042326198915873e-8,-Inf,0.0,Optimal,3.61520229134847e-9,1,1,0,1.94e-01
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe06-6.1flowc.cbf,Min,Optimal,1.8563402566757015,1.8563401948521183,0.18266701698303223,0.21520495414733887,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe06-6.1flowc.txt,0.0,5.67177305121902e-10,-Inf,2.6014829692649613e-10,-Inf,0.0,Optimal,1.730466026159049e-8,3,3,0,4.46e-03
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe06-6.2flowc.cbf,Min,UserLimit,48.808630031876454,47.255836163540735,3600.0687251091003,3600.1107380390167,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe06-6.2flowc.txt,0.0,2.6645352591003757e-15,-Inf,1.256438286745265e-10,-Inf,0.0,Optimal,1.4508494662586395e-9,3,3,0,7.23e-02
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe06-6.5bflowc.cbf,Min,UserLimit,1.9700334308249654,1.8509774493134894,3600.1252830028534,3600.186563014984,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe06-6.5bflowc.txt,0.0,3.604980549378048e-8,-Inf,3.8271384394938934e-8,-Inf,0.0,Optimal,1.0392642657402787e-7,1,1,0,5.29e-02
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe06-6.5flowc.cbf,Min,Optimal,5.998253322556042,5.998253322556043,2089.9365799427032,2089.9724349975586,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe06-6.5flowc.txt,0.0,1.7763568394002505e-15,-Inf,2.6807778219506417e-11,-Inf,0.0,Optimal,1.6472465173002194e-8,8,8,0,8.40e-02
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe07-5.1flowc.cbf,Min,UserLimit,44.47349720756999,42.57045821810276,3600.0833189487457,3600.123284101486,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe07-5.1flowc.txt,0.0,7.1090686196491185e-9,-Inf,1.5459776475651738e-9,-Inf,0.0,Optimal,6.80104831878739e-8,1,1,0,2.42e-02
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe07-5.2bflowc.cbf,Min,Optimal,31.313708781623014,31.31370848524104,361.308718919754,361.3472898006439,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe07-5.2bflowc.txt,0.0,3.8938323054072494e-8,-Inf,2.1681403497866338e-10,-Inf,0.0,Optimal,1.4523394202341517e-8,4,4,0,5.73e-02
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe07-5.2flowc.cbf,Min,Optimal,49.14061163050749,49.14061144041772,108.87634301185608,108.90918397903442,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe07-5.2flowc.txt,0.0,9.569439642888219e-9,-Inf,6.870311339302872e-10,-Inf,0.0,Optimal,4.875559322735019e-8,4,4,0,1.46e-02
PAJ_CPLEX_MOSEK_dualonly,achtziger_stolpe07-5.3flowc.cbf,Min,Optimal,7.716052153278994,7.716052153278994,13.485265970230103,13.51916790008545,PAJ_CPLEX_MOSEK_dualonly.achtziger_stolpe07-5.3flowc.txt,0.0,8.881784197001252e-16,-Inf,6.986582423706977e-10,-Inf,0.0,Optimal,2.2135907295891016e-8,5,5,0,1.78e-02
